,umap_n_neighbors,umap_min_dist,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples,cluster_selection_epsilon,silhouette_score
37,12,0.46,57,23,13,0.5017076884682683,0.3712571859359741
38,73,0.45,70,55,20,0.3298475991022823,0.45773300528526306
39,59,0.41000000000000003,62,31,13,0.3995097453455097,0.5586575269699097
40,76,0.39,46,16,11,0.26716338436446685,0.6074704527854919
41,75,0.39,46,15,11,0.26641493403195615,0.5914019346237183
42,92,0.44,54,24,12,0.17202894906858118,0.6141431927680969
43,85,0.5,54,19,14,0.051864551206628626,0.46345600485801697
44,81,0.44,41,8,4,0.16059413856186078,0.48069295287132263
45,92,0.48,46,23,12,0.3029287240932567,0.598343014717102
46,93,0.28,50,5,2,0.9440724986198933,-0.10261096060276031
47,63,0.4,68,16,10,0.0440081282477002,0.5958831906318665
48,99,0.32,55,28,16,0.13906457686903667,0.47132572531700134
49,76,0.47000000000000003,59,40,18,0.18162614963299556,0.3661368191242218
50,85,0.43,64,24,15,0.2437122288033204,0.49195531010627747
51,89,0.49,48,31,12,0.3089822021709972,0.5680223107337952
52,91,0.0,42,23,12,0.448739815455928,0.4655415713787079
53,80,0.46,35,17,10,0.2705458524574292,0.5984282493591309
54,70,0.16,35,9,6,0.19988625981540314,0.5167086720466614
55,79,0.45,54,17,10,0.14290816292422467,0.579553484916687
56,96,0.43,27,13,11,0.3914610709261986,0.5493336319923401
57,85,0.37,38,27,9,0.25842549029231876,0.599767804145813
58,86,0.36,39,27,14,0.09513973175972384,0.47331956028938293
59,56,0.34,43,37,4,0.336121320683172,0.4471413791179657
60,45,0.38,49,33,5,0.016025227987856994,0.4340142011642456
61,84,0.42,34,19,9,0.260132893183516,0.5994939208030701
62,96,0.4,31,22,9,0.23877030286486,0.578642725944519
63,83,0.42,36,29,9,0.1947692598836539,0.5808747410774231
64,35,0.24,43,25,14,0.12505091346718888,0.46998658776283264
65,100,0.32,39,63,24,0.2580119758200505,0.492140531539917
66,69,0.21,28,20,12,0.16053336745048508,0.6037748456001282
67,67,0.19,28,45,17,0.06458768637092743,0.48831579089164734
68,62,0.16,23,34,16,0.15653465552014328,0.4895949065685272
69,70,0.21,78,29,12,0.4666106368638763,0.2628578543663025
70,49,0.13,14,40,6,0.5827582935968337,0.3083075284957886
71,77,0.27,29,20,9,0.22094281126721999,0.6058387160301208
72,76,0.27,29,19,11,0.20922127358851583,0.604332685470581
73,67,0.27,23,13,11,0.10893507038007046,0.5988829135894775
74,73,0.28,29,20,13,0.22014343660233285,0.4525842070579529
